name,address,latitude,longitude,loc_rating,rating
Spencer Street Apartments,"392 Spencer Street, West Melbourne, 3003 Melbourne, Australia",-37.8112852,144.9506565,8.8,9.1
HFN Crown Shadow Play Apartment,"3612/105 Clarendon st southbank, Southbank, 3006 Melbourne, Australia",-37.827096,144.9581235,9.1,8.6
Travelodge Hotel Melbourne Southbank,"Corner Southgate Avenue & Riverside Quay, Southbank, 3006 Melbourne, Australia",-37.8212704,144.9653156,9.5,8.5
Mercure North Melbourne,"Corner Flemington Road & Harker Street, North Melbourne, 3051 Melbourne, Australia",-37.796755,144.9510935,8.5,8
Mantra City Central,"318 Little Bourke Street, 3000 Melbourne, Australia",-37.8129327,144.963098,9.2,8.1
ibis Melbourne Swanston Street Hotel,"609 Swanston Street, Carlton, 3053 Melbourne, Australia",-37.8040091,144.9629905,8.3,8
"Hyatt Place Melbourne, Essendon Fields","1 English Street, 3041 Melbourne, Australia",-37.7247996,144.8928714,8.5,8.8
"Water views, Lovely 2BRs, free tram zone, close to everything!","463 Docklands Drive, Docklands, 3008 Melbourne, Australia",-37.8151404,144.9372909,9.4,9.3
Mantra 100 Exhibition,"100 Exhibition Street, 3000 Melbourne, Australia",-37.8133472,144.9714663,9,8.3
Winston Apartments,"568 Collins Street, 3000 Melbourne, Australia",-37.8183759,144.9554361,9.1,8.4
Pride Fawkner Apartments Bay-view (LXII),"499 Saint Kilda Road, 3004 Melbourne, Australia",-37.8431329,144.9793406,10,9.6
Quest Flemington Central,"1 Ascot Vale Road, Flemington , 3031 Melbourne, Australia",-37.7867363,144.9211832,8.6,8.9
Grand Hyatt Melbourne,"123 Collins Street, 3000 Melbourne, Australia",-37.8152145,144.9700836,9.5,8.9
Novotel Melbourne On Collins,"270 Collins Street, 3000 Melbourne, Australia",-37.8156191,144.9647759,9.3,8.4
The Eminence Carlton,"145 Queensberry Street, Carlton, 3053 Melbourne, Australia",-37.8049139,144.9639284,9.5,9.1
PrivateStudio in Quay West Building,"26 Southgate Avenue, Southbank, 3006 Melbourne, Australia",-37.8204479,144.9671207,9.9,9.7
Novotel Melbourne South Wharf,"7 Convention Centre Place, Southbank, 3006 Melbourne, Australia",-37.8255051,144.9499987,9.4,9.3
AKOM Melbourne,"36 La Trobe Street, 3000 Melbourne, Australia",-37.8082574,144.9676359,9,8.4
Stylish Apartment+Netflix,"888 Collins Street 506, Docklands, 3008 Melbourne, Australia",-37.8205169,144.9422993,9.5,9.5
The Langham Melbourne,"1 Southgate Avenue, Southbank, 3006 Melbourne, Australia",-37.8204542,144.9657017,9.6,9.3
Avani Central Melbourne Residences,"60 A®πBeckett Street, 3000 Melbourne, Australia",-37.8087405,144.9614497,9.3,9
Docklands Private Collection - Digital Harbour,"7/198 Harbour Esplanade, Docklands, 3008 Melbourne, Australia",-37.8139288,144.944923,9.3,8.7
Travelodge Hotel Melbourne Docklands,"66 Aurora Lane, Docklands, 3008 Melbourne, Australia",-37.8184097,144.9499226,8.9,8.5
Punthill Apartment Hotel - Flinders Lane,"267 Flinders Lane, 3000 Melbourne, Australia",-37.8170824,144.9654877,9.5,8.7
Punthill Apartment Hotel - Manhattan,"57 Flinders Lane, 3000 Melbourne, Australia",-37.8149825,144.9728432,9.3,8.6
Cosmopolitan Hotel Melbourne,"2 - 8 Carlisle Street, 3182 Melbourne, Australia",-37.8667656,144.9791817,9,8.3
Flinders St Apartments @ Fed Square,"238 Flinders Street , 3000 Melbourne, Australia",-37.8173927,144.9663866,9.8,9.2
Eporo - Central Apartments,"285 La Trobe Street, 3000 Melbourne, Australia",-37.8107078,144.9608101,9.6,9.1
Melbourne Short Stay at SouthbankONE,"180 City Road, Southbank, Southbank, 3006 Melbourne, Australia",-37.8240013,144.9620001,8.9,8.4
The Victoria Hotel,"215 Little Collins Street, 3000 Melbourne, Australia",-37.8143003,144.9670981,9.4,8.5
Corporate Keys - Freshwater Place,"1 Freshwater Place, Southbank, 3006 Melbourne, Australia",-37.8217362,144.962136,9.5,8.8
Apartments @ 23 Lonsdale,"23-33 Lonsdale Street, 3000 Melbourne, Australia",-37.8098519,144.9713913,9.4,8.7
Imagine Lighthouse,"442 - 450 Elizabeth Street, 3000 Melbourne, Australia",-37.8082901,144.9608489,9.2,8.8
UrbanSuite The Wild Rosa Inn,"38 Rose Lane, 3000 Melbourne, Australia",-37.8148892,144.9542038,9.7,9.4
AKOM Docklands,"26 Rakaia Way , Docklands, 3008 Melbourne, Australia",-37.8145392,144.9414692,9,8.4
Orange Stay Townhouses,"6 Buckley Walk, Docklands, 3008 Melbourne, Australia",-37.8197868,144.9450975,9.2,8.9
Melbourne Short Stay Apartments,"187 City Road, Southbank, 3006 Melbourne, Australia",-37.8250629,144.9617704,8.6,8.6
Rose Lane Serviced Apartment,"220 Spencer Street, 3000 Melbourne, Australia",-37.8156694,144.952988,9.3,8.7
Jasper Hotel,"489 Elizabeth Street, 3000 Melbourne, Australia",-37.8074904,144.9597627,8.9,8.4
City Square Motel,"67 Swanston Street, 3000 Melbourne, Australia",-37.816032,144.9664754,9.4,8.4
Northbank Residences by Apartments of Melbourne,"565 Flinders Street , 3000 Melbourne, Australia",-37.8211278,144.9558983,8.7,8.4
Melbourne Short Stay Apartments on Lonsdale,"618 Lonsdale Street, 3000 Melbourne, Australia",-37.8143198,144.9539133,9,8.9
Imagine Marco,"42-48 Balston Street, Southbank, 3006 Melbourne, Australia",-37.8266084,144.9627306,8.3,8.6
Adina Apartment Hotel Melbourne Flinders Street,"88 Flinders Street, 3000 Melbourne, Australia",-37.8159622,144.9717981,9.2,8.7
Winston Apartments Docklands,"883-889 Collins Street, Docklands, 3008 Melbourne, Australia",-37.8211211,144.9425286,8.9,8.5
InterContinental Melbourne The Rialto,"495 Collins Street, 3000 Melbourne, Australia",-37.818889,144.958333,9.1,8.9
Radisson On Flagstaff Gardens Melbourne,"380 William Street, Melbourne, Victoria 3000, Australia, 3000 Melbourne, Australia",-37.8102736,144.9561287,9,8.9
Melbourne SkyHigh Apartments,"568 Collins Street, 3000 Melbourne, Australia",-37.8183759,144.9554361,9.1,8.3
ibis Melbourne Hotel and Apartments,"15 - 21 Therry Street, 3000 Melbourne, Australia",-37.8070768,144.9613961,8.7,8.2
Easystay Studio Apartments,"63 Fitzroy Street, 3182 Melbourne, Australia",-37.8611337,144.9755755,8.4,8.1
City Limits Hotel Apartments,"20-22 Little Bourke St, 3000 Melbourne, Australia",-37.8104831,144.9718004,9.4,8.9
Melbourne Holiday Apartments Southbank,"1 Freshwater Place Melbourne, Southbank, 3000 Melbourne, Australia",-37.8217362,144.962136,9.8,9.5
New Boutique Apartment Abode 515,"108 Flinders Street, 3000 Melbourne, Australia",-37.81615,144.9711221,9.7,9.5
Southbank Apartments Eureka,"7 Riverside Quay, Southbank, Southbank, 3006 Melbourne, Australia",-37.8213341,144.9646982,9.5,8.9
QT Melbourne,"133 Russell Street, 3000 Melbourne, Australia",-37.8133721,144.9679842,9.6,9.3
Docklands Executive Apartments - Melbourne,"8 Waterview Walk, , Docklands, 3008 Melbourne, Australia",-37.8196989,144.9481307,9.5,9.5
Fawkner Apartment 1B1B - 8,"499 St Kilda Rd, Melbourne, Victoria, Australia, 3004 Melbourne, Australia",-37.8431329,144.9793406,9.8,9.3
Punthill Ivanhoe,"21 Bell Street, 3079 Melbourne, Australia",-37.7545558,145.0555167,8.4,8.8
City Edge North Melbourne Apartment Hotel,"188 Peel Street, North Melbourne, 3051 Melbourne, Australia",-37.8032321,144.9567684,8.7,8.2
Adara St Kilda,"135 Inkerman Street, 3182 Melbourne, Australia",-37.8650204,144.9876674,8.3,8.2
Playhouse Apartments,"20 Shamrock Street, 3067 Melbourne, Australia",-37.8098262,145.008161,8.4,8.7
Premier Stays Melbourne,"50 Haig Street, Southbank, 3006 Melbourne, Australia",-37.826844,144.9568385,9.6,9.3
Bayview Eden Melbourne,"6 Queens Road, Albert Park, 3004 Melbourne, Australia",-37.8373884,144.974134,8.5,8.6
Melbourne Short Stay Apartments MP Deluxe,"241 City Road, Southbank, 3006 Melbourne, Australia",-37.8265171,144.960065,8.7,8.4
Platinum City Serviced Apartments,"327 La Trobe Street, 3000 Melbourne, Australia",-37.8109622,144.959802,8.9,8.3
Melbourne Vacation Rentals Apartment,"173 City Road, Southbank, 3006 Melbourne, Australia",-37.824628,144.9623452,9,8.8
Adina Apartment Hotel St Kilda Melbourne,"157 Fitzroy Street, 3182 Melbourne, Australia",-37.8588997,144.9794697,9,8.5
Seasons Botanic Gardens,"348 St Kilda Road, South Melbourne, 3004 Melbourne, Australia",-37.8309509,144.9708639,8.9,8.4
Aura on Flinders Serviced Apartments,"534 Flinders Street (Enter via 7 Katherine Pl), 3000 Melbourne, Australia",-37.8202635,144.9563591,8.9,8.3
Nest-Apartment on Rose Lane,"Rose Lane, 3000 Melbourne, Australia",-37.8152243,144.9541591,9.2,8.5
Urban Modern Apartments,"568 Collin Street, 3000 Melbourne, Australia",-37.8183759,144.9554361,9.2,8.6
Nest-Apartments Sea View Apartments,"220 Spencer St., 3000 Melbourne, Australia",-37.8156694,144.952988,9.2,8.5
HFN Riverside Docklands Apartment,"8 Pearl River Road, Docklands, 3008 Melbourne, Australia",-37.8155523,144.9379982,8.8,8
ibis Melbourne Central,"399 Little Lonsdale Street, 3000 Melbourne, Australia",-37.8120449,144.960108,9.3,9
Best Western Melbourne City,"16 Spencer Street, 3000 Melbourne, Australia",-37.8204799,144.9552898,9.2,8.4
Amazing Accommodations: Vogue,"27-35 Malcolm Street, South Yarra, 3141 Melbourne, Australia",-37.8372321,144.9963591,9.4,8.8
Morden apartment near crown in CBD,"1610/105 Clarendon St, Southbank VIC 3006, Southbank, 3006 Melbourne, Australia",-37.827096,144.9581235,9.3,8.3
Flinders Street Apartments,"108 Flinders Street, Melbourne CBD, 3000 Melbourne, Australia",-37.81615,144.9711221,9.6,9.3
Oaks On Market,"60 Market Street, 3000 Melbourne, Australia",-37.8178256,144.9607964,9.1,8.7
